station,event1,event2,Δτl,Δτc,Δτr,Δτr2,ccl,ccc,ccr,Δτ,Δτp,cs,x1,x2,Δτ2,n1,n2
H11N3,2009-01-18T09:36:33.31,2019-01-19T05:22:00.7,"[-1.482991550652916, -1.3943654431924197]","[-1.1031914228261088, -1.1330045630064618]","[-0.7324375264579517, -0.8753363646349949]","[-0.03648976968876401, -0.14399284927614125]","[0.5630809273293678, 0.5396080143327029]","[0.6341350174189154, 0.5900686011808712]","[0.34153555430506005, 0.4272712459564423]",-0.7324375264579517,0.2693735330807633,3,-1.372564955906872,0.02981314018035297,-0.8753363646349949,-0.0010421751981509741,0.0016174101343100489
H11N3,2009-01-21T22:01:56.2,2009-01-21T22:09:48.5,"[1.6297508876275897, 1.723195716314263]","[2.0109775026909316, 2.0041929828379277]","[2.3868380177731505, 2.282799345791246]","[2.7458416768342673, 2.556881498127353]","[0.5075798703016743, 0.6890586555382885]","[0.6069903938537399, 0.8107231338325644]","[0.430920515515596, 0.6804473712661012]",2.0109775026909316,2.0064180087117194,2,0.004559493979212181,0.006784519853003879,2.0041929828379277,-0.0011997511975381236,0.0
H11N3,2009-02-15T22:39:05.04,2012-07-05T21:05:55.3,"[-1.2869239249252906, -1.2788778598279407]","[-0.9158220309487924, -0.9822271902967156]","[-0.5381942027711206, -0.6961382685373945]","[-0.16463924511217604, -0.1426174209136045]","[0.5492182398902584, 0.4854584841664446]","[0.62246709483002, 0.403841735632394]","[0.5153813404460975, 0.25368498556847324]",-0.5381942027711206,0.4930462916705233,3,-1.4088683226193157,0.06640515934792313,-0.6961382685373945,-0.026799747713650013,-0.004853937127023755
H11N3,2009-02-15T22:39:05.04,2014-06-19T09:50:14.45,"[0.7231324174154083, 0.8002155376211777]","[1.0959086639038773, 1.0977950258008522]","[1.4696626649946842, 1.4006724112406712]","[1.8403844486721292, 1.6902664710060535]","[0.5757785179476498, 0.39632006480952947]","[0.7107653984430012, 0.39602966646439186]","[0.6150308360130717, 0.34628835587766466]",1.4696626649946842,1.980090590656638,3,-0.8841819267527606,-0.0018863618969748863,1.4006724112406712,0.006145833701299619,0.004853937127023311
H11N3,2009-02-17T00:12:57.05,2018-10-22T10:47:18.2,"[-1.67875660637072, -1.5983622610739248]","[-1.298924958662972, -1.3079314138299039]","[-0.9131851590021476, -1.017823313532661]","[-0.5354781442435682, -0.7380251418062719]","[0.4875663351460231, 0.44400383604413934]","[0.7068561988781515, 0.507155868878667]","[0.6049114011510933, 0.3505246909673851]",-0.5354781442435682,0.5064654215593307,4,-1.8053903802223028,0.00900645516693177,-0.7380251418062719,-0.004146480974908662,0.0
H11N3,2009-02-20T22:29:07.38,2012-01-22T14:43:53.01,"[0.4323267492591565, 0.6668928581832142]","[0.850648472884962, 0.9175896988862255]","[1.2602784944298042, 1.1730189714334518]","[1.6757530949340398, 1.6691932562888694]","[0.6504448086472382, 0.3798083088738409]","[0.8205590881047902, 0.5328872335113007]","[0.7718616598557726, 0.5321702219977387]",0.850648472884962,0.7039026025901076,2,0.14674587029485442,-0.06694122600126351,0.9175896988862255,-0.006486435774662236,0.0
H11N3,2009-03-24T06:17:37.3,2012-04-30T20:00:04.96,"[-0.18083447722943932, -0.10226350792335513]","[0.19363813122447335, 0.2061159402856874]","[0.565241264264407, 0.5188438715384946]","[0.9100577156617905, 0.8367084377685736]","[0.41817552820338494, 0.3602431443428169]","[0.6576422432982162, 0.4157004268223676]","[0.5028703245594979, 0.3625258973965589]",0.19363813122447335,0.15200321573961773,2,0.04163491548485562,-0.01247780906121404,0.2061159402856874,0.010157328330032106,-2.7755575615628914e-17
H11N3,2009-03-24T06:17:37.3,2013-08-12T06:16:59.64,"[0.30665435769459914, 0.3862404198467358]","[0.6707689202321365, 0.6894371526906962]","[1.0302535900815373, 0.9848173887704881]","[1.3673687445052807, 1.2840068535490254]","[0.41671527057463986, 0.3215344890775877]","[0.6104322146424745, 0.4829630965746856]","[0.48892990716762313, 0.43589046177065494]",0.6707689202321365,0.6237546419369067,2,0.04701427829522986,-0.01866823245855964,0.6894371526906962,0.025845534359518973,0.0
H11N3,2009-06-06T02:35:34.74,2009-06-06T03:49:23.37,"[-1.5523644932558212, -1.445158883727655]","[-1.1848447797057235, -1.1644527906105482]","[-0.820116130841089, -0.879668805571173]","[-0.4655711757310018, -0.5943415440224038]","[0.6468179212421575, 0.7210099977900327]","[0.8437816822679803, 0.8608553658080174]","[0.7203873110287982, 0.7229456754753698]",-1.1848447797057235,-1.203702794997098,2,0.01885801529137443,-0.020391989095175367,-1.1644527906105482,0.016411033489312832,0.0
H11N3,2009-07-14T05:11:34.66,2012-06-22T12:44:48.38,"[0.1527660675206347, 0.26455258586716623]","[0.5354524485721736, 0.5456436540431797]","[0.9244016796657202, 0.8366920553738812]","[1.3162137073266096, 1.1399533238392856]","[0.4889663497126685, 0.3448791689073152]","[0.6982994557811788, 0.3950647870337712]","[0.6029151630903887, 0.29730235341627137]",0.9244016796657202,1.060154610030865,3,-0.5247021614586914,-0.01019120547100616,0.8366920553738812,0.0028703798178493223,-0.001375760339715204
